令和7年1月1日住民基本台帳人口・世帯数、令和6年（1月1日から同年12月31日まで）人口動態（市区町村別）（外国人住民）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,令和7年,令和7年,令和7年,令和7年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年
,,,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年
,,,人口,人口,人口,世帯数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
,,,男,女,計,世帯数,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（国籍喪失）,その他（その他）,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（帰化等）,その他（その他）,その他（計）,計（Ｂ）,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,人,人,人,世帯,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,％,人,％,人,％
132047,東京都,三鷹市,2361 ,2449 ,4811 ,2871 ,847 ,944 ,1791 ,19 ,0 ,6 ,6 ,1816 ,677 ,462 ,1139 ,8 ,24 ,166 ,190 ,1337 ,479 ,11.06 ,11 ,0.25 ,468 ,10.80 
132055,東京都,青梅市,1480 ,1552 ,3032 ,1790 ,555 ,540 ,1095 ,13 ,0 ,11 ,11 ,1119 ,428 ,123 ,551 ,6 ,9 ,73 ,82 ,639 ,480 ,18.81 ,7 ,0.27 ,473 ,18.53 
132063,東京都,府中市,3105 ,3472 ,6577 ,3846 ,979 ,1265 ,2244 ,31 ,0 ,15 ,15 ,2290 ,825 ,657 ,1482 ,13 ,31 ,174 ,205 ,1700 ,590 ,9.85 ,18 ,0.30 ,572 ,9.55 
132071,東京都,昭島市,1708 ,1847 ,3555 ,1964 ,572 ,415 ,987 ,27 ,1 ,9 ,10 ,1024 ,487 ,102 ,589 ,10 ,13 ,71 ,84 ,683 ,341 ,10.61 ,17 ,0.53 ,324 ,10.08 
132080,東京都,調布市,2815 ,2719 ,5534 ,3181 ,891 ,722 ,1613 ,30 ,0 ,2 ,2 ,1645 ,756 ,310 ,1066 ,18 ,26 ,110 ,136 ,1220 ,425 ,8.32 ,12 ,0.23 ,413 ,8.08 
132098,東京都,町田市,4897 ,5018 ,9915 ,5250 ,1777 ,896 ,2673 ,91 ,1 ,5 ,6 ,2770 ,1110 ,358 ,1468 ,17 ,39 ,230 ,269 ,1754 ,1016 ,11.42 ,74 ,0.83 ,942 ,10.59 
132101,東京都,小金井市,1822 ,1817 ,3639 ,2116 ,730 ,494 ,1224 ,26 ,0 ,4 ,4 ,1254 ,483 ,227 ,710 ,3 ,9 ,105 ,114 ,827 ,427 ,13.29 ,23 ,0.72 ,404 ,12.58 
132110,東京都,小平市,3048 ,3277 ,6325 ,4031 ,1068 ,1263 ,2331 ,33 ,0 ,8 ,8 ,2372 ,944 ,800 ,1744 ,11 ,17 ,47 ,64 ,1819 ,553 ,9.58 ,22 ,0.38 ,531 ,9.20 
132128,東京都,日野市,2162 ,2013 ,4175 ,2479 ,776 ,535 ,1311 ,23 ,0 ,8 ,8 ,1342 ,624 ,186 ,810 ,8 ,11 ,117 ,128 ,946 ,396 ,10.48 ,15 ,0.40 ,381 ,10.08 
132136,東京都,東村山市,2044 ,2158 ,4202 ,2231 ,671 ,550 ,1221 ,31 ,0 ,553 ,553 ,1805 ,533 ,170 ,703 ,6 ,15 ,589 ,604 ,1313 ,492 ,13.26 ,25 ,0.67 ,467 ,12.59 
